10, 42, 35, 房间00, 密码290537, 12063f08, 03, 00, 游戏状态, 1, 用户进入, 0
10, 42, 42, 房间00, 密码290537, 12063f08, 03, 00, 游戏状态, 1, 用户进入, 1
10, 42, 44, 房间00, 密码290537, 12063f08, 03, 00, 游戏状态, 24, 服务器, 游戏开始				
10, 42, 46, 房间00, 密码290537, 12063f08, 03, 00, 		游戏状态, 24, 定时器, 38, 游戏开始定时器		 
10, 42, 48, 房间00, 密码290537, 12063f08, 03, 00, 		游戏状态, 22, 定时器, 33, 发牌结束定时器
10, 42, 48, 房间00, 密码290537, 12063f08, 03, 00, 游戏状态, 22, 服务器, 发牌完成		   		
10, 42, 49, 房间00, 密码290537, 12063f08, 03, 00, 		游戏状态, 20, 定时器, 48, 
10, 42, 50, 房间00, 密码290537, 12063f08, 03, 00, 			游戏状态, 20, 服务器, 通知抢庄结束	   		, bNTDeskStation=1, byUserState={[0]=255[1]=255[2]=255[3]=255[4]=255[5]=255}, bCatchNum={[0]=4[1]=4[2]=255[3]=255[4]=255[5]=255}, bShowDing=1
10, 42, 53, 房间00, 密码290537, 12063f08, 03, 00, 		游戏状态, 20, 定时器, 37, 抢庄结束定时器		 
10, 42, 53, 房间00, 密码290537, 12063f08, 03, 00, 游戏状态, 21, 服务器, 通知下注		   		
10, 42, 54, 房间00, 密码290537, 12063f08, 03, 00, 		游戏状态, 21, 定时器, 48, 
10, 42, 55, 房间00, 密码290537, 12063f08, 03, 00, 		游戏状态, 21, 定时器, 32, 下注完成定时器
10, 42, 55, 房间00, 密码290537, 12063f08, 03, 00, 			游戏状态, 23, 服务器, 通知开牌摆牛	   		, iOutDeskStation=1
10, 42, 56, 房间00, 密码290537, 12063f08, 03, 00, 		游戏状态, 23, 定时器, 48, 
10, 42, 56, 房间00, 密码290537, 12063f08, 03, 00, 			游戏状态, 23, 客户端,  1, 玩家摆牛		   		, byDeskStation=1, bReadyOpenCard{, byUnderCard{[0]=0x00[1]=0x00[2]=0x00}, byUpCard{[0]=0x00[1]=0x00}, iShape=0
10, 42, 56, 房间00, 密码290537, 12063f08, 03, 00, 			游戏状态, 23, 服务器, 玩家摆牛结果	   		, byDeskStation=1, bReadyOpenCard{, byUnderCard{[0]=0x32[1]=0x31[2]=0x1A}, byUpCard{[0]=0x0B[1]=0x1D}, iShape=0
10, 42, 58, 房间00, 密码290537, 12063f08, 03, 00, 			游戏状态, 23, 客户端,  0, 玩家摆牛		   		, byDeskStation=0, bReadyOpenCard{, byUnderCard{[0]=0x00[1]=0x00[2]=0x00}, byUpCard{[0]=0x00[1]=0x00}, iShape=0
10, 42, 58, 房间00, 密码290537, 12063f08, 03, 00, 			游戏状态, 23, 服务器, 玩家摆牛结果	   		, byDeskStation=0, bReadyOpenCard{, byUnderCard{[0]=0x25[1]=0x1B[2]=0x14}, byUpCard{[0]=0x0D[1]=0x26}, iShape=0
10, 42, 59, 房间00, 密码290537, 12063f08, 03, 00, 		游戏状态, 23, 定时器, 41, 
10, 43, 00, 房间00, 密码290537, 12063f08, 03, 00, 		游戏状态, 23, 定时器, 35, 游戏结束定时器
10, 43, 00, 房间00, 密码290537, 12063f08, 03, 01, 			游戏状态, 25, 服务器, 游戏结束				, iUserState{[0]=3[1]=3[2]=0[3]=0[4]=0[5]=0}, iChangeMoney{[0]=40[1]=-40[2]=0[3]=0[4]=0[5]=0
10, 43, 05, 房间00, 密码290537, 12063f08, 03, 01, 			游戏状态, 25, 服务器, 大结算					, [0]={bWinner=1_dwUserID=16450										_iNTCount=0										_i64WinMoney=40, [1]={bWinner=0_dwUserID=16496										_iNTCount=1										_i64WinMoney=-40, [2]={bWinner=0_dwUserID=0										_iNTCount=0										_i64WinMoney=0, [3]={bWinner=0_dwUserID=0										_iNTCount=0										_i64WinMoney=0, [4]={bWinner=0_dwUserID=0										_iNTCount=0										_i64WinMoney=0, [5]={bWinner=0_dwUserID=0										_iNTCount=0										_i64WinMoney=0
19, 27, 54, 房间00, 密码347507, 12047e22, 03, 00, 游戏状态, 1, 用户进入, 0
22, 09, 56, 房间00, 密码936544, 12047e22, 03, 00, 游戏状态, 1, 用户进入, 0
22, 14, 46, 房间00, 密码936544, 12047e22, 03, 00, 		游戏状态, 1, 定时器, 51, 
22, 14, 46, 房间00, 密码, 12047e22, 00, 00, 游戏状态, 1, 服务器, 游戏结束				
